Year,Label,Value
2019,Jan,5.7
2019,Feb,5.3
2019,Mar,5.8
2019,Apr,5.3
2019,May,5.4
2019,Jun,5.3
2019,Jul,5.2
2019,Aug,5.4
2019,Sep,4.8
2019,Oct,5.5
2019,Nov,5.3
2019,Dec,5.2
2020,Jan,5.5
2020,Feb,5.7
2020,Mar,6.8
